adam_e;1;francois_h;0
adam_e;17;dexter_m;2
adam_e;;trevor_r;
adam_e;;steve_j;
adam_e;17;john_w;1
adam_e;9;bertrand_y;4
adam_e;12;howard_s;0
adam_e;2;laurent_g;4
adam_e;0;roxane_e;5
adam_e;19;jean_t;3
adam_e;4;leo_g;2
adam_e;4;clark_k;3
adam_e;;sandra_n;
adam_e;2;adam_e;5
adam_e;;lois_l;
adam_e;9;maelle_m;3
adam_e;;georges_b;
adam_e;;mathieu_c;
adam_e;;bruce_w;
adam_e;16;joseph_c;3
adam_e;9;olivier_z;2
adam_e;19;marcel_j;0
adam_e;8;melissa_v;4
adam_e;;ludovic_k;
adam_e;6;hans_z;5
adam_e;;nicolas_s;
adam_e;;david_a;
adam_e;;didier_f;
adam_e;;michel_r;
adam_e;9;marie_c;0
adam_e;6;moulinette;0
